Deutschland;männlich;weiblich
      Lahn-Dill-Kreis;126692;130597
      Limburg-Weilburg, Landkreis;86675;88209
      Marburg-Biedenkopf, Landkreis;122463;127221
      Vogelsbergkreis;53254;53579
    Kassel, Regierungsbezirk;611853;624046
      Kassel, kreisfreie Stadt, documenta-Stadt;99986;104216
      Fulda, Landkreis;113060;114396
      Hersfeld-Rotenburg, Landkreis;60827;60739
      Kassel, Landkreis;117984;122734
      Schwalm-Eder-Kreis;91370;91225
      Waldeck-Frankenberg, Landkreis;79226;79928
      Werra-Meißner-Kreis;49400;50808
Rheinland-Pfalz;2054254;2104896
    Koblenz, Statistische Region;751360;771148
      Koblenz, kreisfreie Stadt;56506;58762
      Ahrweiler, Landkreis;63413;64748
      Altenkirchen (Westerwald), Landkreis;64960;66507
      Bad Kreuznach, Landkreis;78730;82577
      Birkenfeld, Landkreis;40508;41252
      Cochem-Zell, Landkreis;31329;31337
      Mayen-Koblenz, Landkreis;107696;110514
      Neuwied, Landkreis;92274;95166
      Rhein-Hunsrück-Kreis;52384;53182
      Rhein-Lahn-Kreis;61390;62991
      Westerwaldkreis;102170;104112
    Trier, Statistische Region;272767;273798
      Trier, kreisfreie Stadt;55489;56706
      Bernkastel-Wittlich, Landkreis;57453;57646
      Eifelkreis Bitburg-Prüm;52202;51440
      Vulkaneifel, Landkreis;30928;30841
      Trier-Saarburg, Landkreis;76695;77165
Rheinhessen-Pfalz, Statistische Region;1030127;1059950
      Frankenthal (Pfalz), kreisfreie Stadt;23923;25128
      Kaiserslautern, kreisfreie Stadt;50948;50280
      Landau in der Pfalz, kreisfreie Stadt;22627;24983
      Ludwigshafen am Rhein, kreisfreie Stadt;87539;86726
      Mainz, kreisfreie Stadt;107358;113194
      Neustadt an der Weinstraße, kreisfreie Stadt;26306;27675
      Pirmasens, kreisfreie Stadt;19921;20761
      Speyer, kreisfreie Stadt;25130;26238
      Worms, kreisfreie Stadt;41957;42689
      Zweibrücken, kreisfreie Stadt;17075;17459
      Alzey-Worms, Landkreis;65697;66839
      Bad Dürkheim, Landkreis;65716;68830
      Donnersbergkreis;37684;38524
      Germersheim, Landkreis;64990;65803
      Kaiserslautern, Landkreis;53113;55103
      Kusel, Landkreis;35694;35768
      Südliche Weinstraße, Landkreis;55379;57252
      Rhein-Pfalz-Kreis;76581;79340
      Mainz-Bingen, Landkreis;105745;109203
      Südwestpfalz, Landkreis;46744;48155
Baden-Wuerttemberg;5595424;5684833
    Stuttgart, Regierungsbezirk;2093955;2111894
      Stuttgart, Stadtkreis;315634;317231
      Böblingen, Landkreis;197762;200766
      Esslingen, Landkreis;269180;271046
      Göppingen, Landkreis;130139;131718
      Ludwigsburg, Landkreis;272828;278223
      Rems-Murr-Kreis, Landkreis;213396;219001
      Heilbronn, Stadtkreis;64610;63724
      Heilbronn, Landkreis;177094;176189
      Hohenlohekreis, Landkreis;57914;57149
      Schwäbisch Hall, Landkreis;101772;101062
      Main-Tauber-Kreis, Landkreis;67267;67478
      Heidenheim, Landkreis;67292;67743
      Ostalbkreis, Landkreis;159067;160564
    Karlsruhe, Regierungsbezirk;1413296;1435104
      Baden-Baden, Stadtkreis;27240;29785
      Karlsruhe, Stadtkreis;157553;151154
      Karlsruhe, Landkreis;226144;228469
      Rastatt, Landkreis;116683;118298
      Heidelberg, Stadtkreis;77561;84712
      Mannheim, Stadtkreis;157130;158424
      Neckar-Odenwald-Kreis, Landkreis;72949;72544
      Rhein-Neckar-Kreis, Landkreis;272531;282821
      Pforzheim, Stadtkreis;62926;64923
      Calw, Landkreis;81700;81153
      Enzkreis, Landkreis;100318;102218
      Freudenstadt, Landkreis;60561;60603
    Freiburg, Regierungsbezirk;1143714;1178975
      Freiburg im Breisgau, Stadtkreis;112382;123758
      Breisgau-Hochschwarzwald, Landkreis;132897;137051
      Emmendingen, Landkreis;84495;86501
      Ortenaukreis, Landkreis;220341;221544
      Rottweil, Landkreis;71335;71258
      Schwarzwald-Baar-Kreis, Landkreis;107434;109747
      Tuttlingen, Landkreis;72930;71961
      Konstanz, Landkreis;141939;150629
      Lörrach, Landkreis;114220;118807
      Waldshut, Landkreis;85741;87719
    Tübingen, Regierungsbezirk;944459;958860
      Reutlingen, Landkreis;144375;147321
      Tübingen, Landkreis;113022;119781
      Zollernalbkreis, Landkreis;95712;97523
      Ulm, Stadtkreis;63803;65125
      Alb-Donau-Kreis, Landkreis;101989;100487
      Biberach, Landkreis;104027;102486
      Bodenseekreis, Landkreis;109351;113361
      Ravensburg, Landkreis;144799;146112
      Sigmaringen, Landkreis;67381;66664
Bayern;6620203;6749190
    Oberbayern, Regierungsbezirk;2370431;2431338
      Ingolstadt, kreisfreie Stadt;71308;69721
      München, kreisfreie Stadt;736806;775685
      Rosenheim, kreisfreie Stadt;31922;32481
      Altötting, Landkreis;56238;57560
      Berchtesgadener Land, Landkreis;52850;54817
      Bad Tölz-Wolfratshausen, Landkreis;63758;65753
      Dachau, Landkreis;78276;78706
      Ebersberg, Landkreis;73169;73661
      Eichstätt, Landkreis;68634;66957
      Erding, Landkreis;71117;70563
      Freising, Landkreis;94031;90402
      Fürstenfeldbruck, Landkreis;108617;112995
      Garmisch-Partenkirchen, Landkreis;42925;45915
