"maennlich","weiblich","region"
147930,135153,"      Wiesbaden, kreisfreie Stadt, Landeshauptstadt"
139279,135926,"      Bergstraße, Landkreis"
151680,148978,"      Darmstadt-Dieburg, Landkreis"
139959,140349,"      Groß-Gerau, Landkreis"
123706,115782,"      Hochtaunuskreis"
218508,212330,"      Main-Kinzig-Kreis"
123675,118745,"      Main-Taunus-Kreis"
49421,48156,"      Odenwaldkreis"
183844,178293,"      Offenbach, Landkreis"
96800,92814,"      Rheingau-Taunus-Kreis"
160228,157070,"      Wetteraukreis"
541391,525963,"    Gießen, Regierungsbezirk"
141785,136879,"      Gießen, Landkreis"
130597,126692,"      Lahn-Dill-Kreis"
88209,86675,"      Limburg-Weilburg, Landkreis"
127221,122463,"      Marburg-Biedenkopf, Landkreis"
53579,53254,"      Vogelsbergkreis"
624046,611853,"    Kassel, Regierungsbezirk"
104216,99986,"      Kassel, kreisfreie Stadt, documenta-Stadt"
114396,113060,"      Fulda, Landkreis"
60739,60827,"      Hersfeld-Rotenburg, Landkreis"
122734,117984,"      Kassel, Landkreis"
91225,91370,"      Schwalm-Eder-Kreis"
79928,79226,"      Waldeck-Frankenberg, Landkreis"
50808,49400,"      Werra-Meißner-Kreis"
2104896,2054254,"Rheinland-Pfalz"
771148,751360,"    Koblenz, Statistische Region"
58762,56506,"      Koblenz, kreisfreie Stadt"
64748,63413,"      Ahrweiler, Landkreis"
66507,64960,"      Altenkirchen (Westerwald), Landkreis"
82577,78730,"      Bad Kreuznach, Landkreis"
41252,40508,"      Birkenfeld, Landkreis"
31337,31329,"      Cochem-Zell, Landkreis"
110514,107696,"      Mayen-Koblenz, Landkreis"
95166,92274,"      Neuwied, Landkreis"
53182,52384,"      Rhein-Hunsrück-Kreis"
62991,61390,"      Rhein-Lahn-Kreis"
104112,102170,"      Westerwaldkreis"
273798,272767,"    Trier, Statistische Region"
56706,55489,"      Trier, kreisfreie Stadt"
57646,57453,"      Bernkastel-Wittlich, Landkreis"
51440,52202,"      Eifelkreis Bitburg-Prüm"
30841,30928,"      Vulkaneifel, Landkreis"
77165,76695,"      Trier-Saarburg, Landkreis"
1059950,1030127,"Rheinhessen-Pfalz, Statistische Region"
25128,23923,"      Frankenthal (Pfalz), kreisfreie Stadt"
50280,50948,"      Kaiserslautern, kreisfreie Stadt"
